onset_russian_lexemes	frequency
O	45994
V	17853
N	9841
O-R	9473
O-O	5508
R	5352
O-L	2916
L	2047
O-N	1156
O-O-R	800
O-O-O	430
O-O-L	280
N-N	190
O-J	80
O-O-O-R	75
O-O-N	61
R-O	44
L-O	42
L-N	33
O-O-O-L	31
J	30
N-R	29
N-L	21
N-O	19
O-O-J	16
N-O-O	10
L-O-O	5
N-O-L	5
O-O-O-O	4
L-J	3
O-N-R	3
O-R-N	2
N-O-N	2
O-L-O	2
R-J	2
O-N-L	1
