coda_macedonian_lexemes	frequency
V	32325
O	8172
N	8007
R	2054
O-O	1899
L	735
N-O	365
J	198
R-O	169
L-O	57
J-O	18
R-N	14
R-O-O	14
L-N	8
J-N	8
N-O-O	7
O-O-O	5
J-L	3
R-L	2
J-N-O	1
