all_onsets_macedonian_lexemes
V
O
O-O
O-L
O-R
O-O-R
O-O-L
O-O-N
O-J
O-L-O
O-N
O-N-R
O-O-O-R
O-O-O
J
L
N
N-J
N-L
N-N
N-R
R
O-N-L
O-O-J
