manner_monosyllabic_codas
V
O
J
O-R
O-O
L
L-O
N
N-O
R
J-O
L-L
R-O
O-O-R
J-O-O
R-O-O-O
R-N
O-O-O
N-O-O
N-O-R
L-O-O
O-L
O-N
J-N
R-L
N-N
R-O-O
J-N-O
N-R
L-N
O-N-O
N-L
J-O-L
N-O-L
N-O-O-R
O-O-L
J-R
J-L
L-O-R
R-L-O
R-N-O-O
