manner_monosyllabic_onsets
O-O
N
O-R
L
V
O
O-L
O-O-R
O-O-O
O-N
O-R-O
R
O-N-R
J
N-R
O-O-O-R
N-L
L-O
O-O-O-O
O-O-L
N-O
O-O-N
L-N
O-J
O-O-O-L
N-N
R-O
N-O-L
O-L-O
O-O-J
N-O-N
O-R-N
O-R-O-N
L-O-N
O-N-L
R-N
R-O-O
N-O-O
O-R-R
O-N-O-O
O-N-O-R
N-O-R
N-J-O
N-J-R
O-O-L-O
O-N-O
R-R
R-R-R
J-N
O-L-N
O-O-O-N
L-O-O-N
R-O-N
O-N-O-L
O-O-L-N
O-O-R-O
O-N-N
O-R-R-R
O-R-L
L-O-O
