manner_all_codas
V
N
R
J
L
O
N-O-O
N-O
O-N
O-O
R-O
O-R
L-O
O-L
O-O-R
N-O-R
O-O-O
R-O-O
L-N
N-O-L
J-O
L-L
L-O-O
L-O-R
J-N
J-O-O
N-N
R-O-O-O
R-N
R-R
J-L
R-L
J-N-O
N-R
O-N-O
N-L
J-O-L
N-O-O-R
O-R-O-O
O-O-L
L-O-O-O
O-O-N
J-R
R-L-O
R-N-O-O
