presented_intervocalic_quality_clusters
O
S
O-O
S-O
O-S
S-S
S-O-O-O
O-O-S
S-O-O-S
O-O-O-S
S-O-O
O-O-O
S-O-S
S-O-O-O-O
O-O-O-O
O-S-S
S-S-O
S-S-S
O-S-O
O-O-O-O-S
S-S-O-O
S-O-S-S
