manner_monosyllabic_onsets
V
O
O-O
O-J
O-L
O-R
O-R-N
O-O-R
O-O-L
O-O-O
O-O-O-L
O-O-O-R
O-O-O-O
O-O-N
O-O-J
O-N
J
L
L-O
L-N
L-J
L-O-O
N
N-O
N-O-L
N-R
N-O-O
N-L
N-N
N-O-J
O-L-O
R
R-O
R-J
O-L-J
O-N-R
O-N-N
O-N-L
