manner_all_onsets
V
O
O-O
O-J
O-L
O-R
O-R-N
O-R-R
O-O-L
O-O-R
O-O-N
O-O-O
O-O-O-L
O-O-O-R
O-O-O-O
O-O-J
O-N
J
L
L-O
L-N
L-J
L-O-O
N
N-O
N-O-L
N-O-N
N-R
N-O-O
N-L
N-N
N-O-J
N-J
O-L-O
R
R-O
R-J
O-L-J
O-N-L
O-N-R
O-N-N
