manner_monosyllabic_onsets
V
O
O-O
O-L
O-R
O-R-N
O-J
O-O-R
O-O-L
O-O-O
O-O-O-L
O-O-O-R
O-O-N
O-O-J
O-N
J
L
L-O
L-J
L-N
L-O-O
N
N-O
N-O-L
N-O-O
N-L
N-N
N-R
N-O-J
O-L-O
R
R-O
O-N-R
