onset_russian_lexemes	frequency
O	41218
V	17852
N	9841
O-R	9338
R	5352
W	4776
O-O	3281
O-L	2801
L	2047
O-W	1535
O-N	968
O-O-R	665
W-O	627
W-O-O	234
O-O-L	200
N-N	190
W-N	188
W-O-R	135
W-R	135
O-O-W	118
W-L	115
W-O-L	80
W-O-O-R	75
W-O-W	68
O-J	67
W-W	65
W-O-N	48
L-O	36
L-N	33
W-O-O-L	31
J	30
N-R	29
R-O	28
N-L	21
N-O	19
R-W	16
W-O-J	14
W-J	13
O-O-N	13
O-O-O	10
N-O-O	10
L-W	6
L-O-O	5
N-O-L	5
W-O-O-W	4
L-J	3
O-N-R	3
O-R-N	2
N-O-N	2
O-L-O	2
R-J	2
O-O-J	2
O-N-L	1
